sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043563,132204617,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043563,183753886,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043563,245103006,,0.0,0.0,1.6848883628845215,0.0,0.0
1741043563,296491953,,0.0,0.0,1.6848883628845215,0.0,0.0
1741043563,327157569,,0.0,0.0,1.7366772890090942,0.0,0.0
1741043563,347974917,,0.0,0.0,1.9957764148712158,0.0,0.0
1741043563,368639079,,0.0,0.0,2.1511433124542236,0.0,0.0
1741043563,379302204,,-0.07229163497686386,0.0,2.1511433124542236,0.0,0.0
1741043563,389965425,,-0.15331056714057922,0.0,2.3582992553710938,0.0,0.0
1741043563,401196012,,-0.2977401912212372,0.0,2.4618773460388184,0.0,0.0
1741043563,410507378,,-0.3400000035762787,0.0,2.4618773460388184,0.0,0.0
1741043563,452086489,,-0.3400000035762787,0.0,2.5138206481933594,0.0,0.0
1741043563,482284132,,-0.3400000035762787,0.0,2.617398500442505,0.0,0.0
1741043563,523842123,,-0.3400000035762787,0.0,2.7727653980255127,0.0,0.0
1741043563,544109833,,-0.3400000035762787,0.0,2.824554443359375,0.0,0.0
1741043563,566897891,,-0.3400000035762787,0.0,3.1354424953460693,0.0,0.0
1741043563,588257389,,-0.3400000035762787,0.0,3.1872315406799316,0.0,0.0
1741043563,608783630,,-0.3400000035762787,0.0,3.290809392929077,0.0,0.0
1741043563,639533695,,-0.3400000035762787,0.0,3.446176290512085,0.0,0.0
1741043563,649724974,,-0.3400000035762787,0.0,3.601543426513672,0.0,0.0
1741043563,681757613,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,732799676,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,783892748,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,835070428,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,885360835,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,936571476,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043563,987198783,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,38319695,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,89173340,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,140490574,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,191765503,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,242827247,,-0.3400000035762787,0.0,3.653332233428955,0.0,0.0
1741043564,293940895,,-0.3400000035762787,0.0,3.3425984382629395,0.0,0.0
1741043564,316713624,,-0.3400000035762787,0.0,3.290809392929077,0.0,0.0
1741043564,366992127,,-0.3400000035762787,0.0,3.290809392929077,0.0,0.0
1741043564,398144212,,-0.27307814359664917,0.0,3.1872315406799316,0.0,0.0
1741043564,408839657,,-0.026499688625335693,0.0,3.1872315406799316,0.0,0.0
1741043564,419795809,,0.0,0.0,3.1872315406799316,0.0,0.0
1741043564,470042343,,0.0,0.0,3.1872315406799316,0.0,0.0
1741043564,521163799,,0.0,0.0,3.1872315406799316,0.0,0.0
1741043564,571996772,,0.0,0.0,3.1872315406799316,0.0,0.0
1741043564,623578873,,0.0,0.0,3.1872315406799316,0.0,0.0
